customer_id,first_name,last_name,totalpayment
20,Sharon,Robinson,103.73
408,Manuel,Murrell,103.73
292,Misty,Lambert,102.78
553,Max,Pitt,102.77
510,Ben,Easter,102.77
587,Sergio,Stanfield,102.76
98,Lillian,Griffin,102.76
126,Ellen,Simpson,102.75
190,Yolanda,Weaver,102.75
44,Marie,Turner,101.79
466,Leo,Ebert,101.78
100,Robin,Hayes,101.77
593,Rene,Mcalister,101.76
405,Leonard,Schofield,101.70
486,Glen,Talbert,100.77
517,Brad,Mccurdy,100.76
572,Sidney,Burleson,100.76
219,Willie,Howell,100.75
251,Vickie,Brewer,100.75
135,Juanita,Mason,100.72
519,Ron,Deluca,99.78
11,Lisa,Anderson,99.77
57,Evelyn,Morgan,99.74
297,Sherri,Rhodes,99.74
563,Ken,Prewitt,99.73
503,Angel,Barclay,99.72
452,Tom,Milner,99.71
381,Bobby,Boudreau,99.68
19,Ruth,Martinez,98.82
329,Frank,Waggoner,98.77
537,Clinton,Buford,98.76
175,Annette,Olson,98.76
264,Gwendolyn,May,98.75
425,Francis,Sikes,98.75
374,Jeremy,Hurtado,98.75
580,Ross,Grey,98.74
65,Rose,Howard,97.80
367,Adam,Gooch,97.80
460,Leon,Bostic,97.79
409,Rodney,Moeller,97.78
192,Laurie,Lawrence,97.78
475,Pedro,Chestnut,97.78
562,Wallace,Slone,97.78
123,Shannon,Freeman,97.77
256,Mabel,Holland,97.75
581,Virgil,Wofford,97.75
268,Nina,Soto,96.79
379,Carlos,Coughlin,96.79
269,Cassandra,Walters,96.79
352,Albert,Crouse,96.78
83,Louise,Jenkins,96.78
14,Betty,White,96.77
414,Vincent,Ralston,96.77
286,Velma,Lucas,96.76
445,Micheal,Forman,96.76
317,Edward,Baugh,96.76
500,Reginald,Kinder,96.75
422,Melvin,Ellington,96.75
74,Denise,Kelly,96.74
554,Dwayne,Olvera,95.80
578,Willard,Lumpkin,95.79
106,Connie,Wallace,95.79
180,Stacy,Cunningham,95.78
324,Gary,Coy,95.78
541,Darren,Windham,95.78
488,Shane,Millard,95.78
339,Walter,Perryman,95.76
199,Beth,Franklin,95.76
456,Ronnie,Ricketts,95.76
132,Esther,Crawford,95.72
22,Laura,Rodriguez,94.81
150,Danielle,Daniels,94.78
68,Nicole,Peterson,94.78
276,Brandy,Graves,94.77
161,Geraldine,Perkins,94.76
546,Kelly,Knott,94.76
153,Suzanne,Nichols,94.76
10,Dorothy,Taylor,94.76
111,Carmen,Owens,94.75
321,Kevin,Schuler,93.83
432,Edwin,Burk,93.80
528,Claude,Herzog,93.80
319,Ronald,Weiner,93.79
443,Francisco,Skidmore,93.79
105,Dawn,Sullivan,93.78
336,Joshua,Mark,93.78
385,Phillip,Holm,93.76
383,Martin,Bales,93.75
229,Tamara,Nguyen,93.75
377,Howard,Fortner,93.74
12,Nancy,Thomas,93.74
47,Frances,Parker,92.81
307,Joseph,Joy,92.80
544,Cody,Nolen,92.80
81,Andrea,Henderson,92.79
365,Bruce,Schwarz,92.79
511,Chester,Benner,92.78
431,Joel,Francisco,92.78
516,Elmer,Noe,92.76
182,Renee,Lane,92.76
474,Dustin,Gillette,92.75
188,Melanie,Armstrong,92.75
275,Carole,Barnett,92.75
505,Rafael,Abney,91.81
489,Ricardo,Meador,91.81
212,Wilma,Richards,91.80
37,Pamela,Baker,91.79
201,Vicki,Fields,91.78
417,Travis,Estep,91.78
392,Sean,Douglass,91.77
323,Matthew,Mahan,91.75
570,Ivan,Cromwell,91.75
64,Judith,Cox,91.70
261,Deanna,Byrd,90.78
216,Natalie,Meyer,90.78
99,Emily,Diaz,90.77
36,Kathleen,Adams,90.75
461,Derek,Blakely,90.73
552,Hugh,Waldrop,89.80
43,Christine,Roberts,89.78
364,Benjamin,Varney,89.78
333,Andrew,Purdy,89.78
73,Beverly,Brooks,89.78
235,Jackie,Lynch,89.77
233,Lillie,Kim,89.77
507,Edgar,Rhoads,89.77
156,Bertha,Ferguson,89.77
69,Judy,Gray,89.77
463,Darrell,Power,89.76
34,Rebecca,Scott,89.76
361,Lawrence,Lawton,89.71
247,Stella,Moreno,88.81
249,Dora,Medina,88.81
33,Anna,Hill,88.80
375,Aaron,Selby,88.80
415,Glenn,Pullen,88.78
60,Mildred,Bailey,88.78
231,Georgia,Jacobs,88.77
53,Heather,Morris,88.76
133,Pauline,Henry,88.75
72,Theresa,Watson,88.73
17,Donna,Thompson,87.82
203,Tara,Ryan,87.81
523,Harvey,Guajardo,87.80
305,Richard,Mccrary,87.80
476,Derrick,Bourque,87.80
547,Kurt,Emmons,87.80
226,Maureen,Little,87.79
189,Loretta,Carpenter,87.79
130,Charlotte,Hunter,87.78
597,Freddie,Duggan,87.77
351,Jack,Foust,87.77
509,Raul,Fortier,86.82
478,Lewis,Lyman,86.81
501,Ruben,Geary,86.81
238,Nellie,Garrett,86.81
195,Vanessa,Sims,86.81
67,Kelly,Torres,86.80
169,Erica,Matthews,86.80
217,Agnes,Bishop,86.79
232,Constance,Reid,86.77
101,Peggy,Myers,86.77
419,Chad,Carbone,86.76
228,Allison,Stanley,86.75
561,Ian,Still,86.75
208,Lucy,Wheeler,86.75
115,Wendy,Harrison,86.73
567,Alfredo,Mcadams,85.80
437,Randall,Neumann,85.80
382,Victor,Barkley,85.78
359,Willie,Markham,85.78
455,Jon,Wiles,85.78
24,Kimberly,Lee,85.77
8,Susan,Wilson,85.77
77,Jane,Bennett,85.77
450,Jay,Robb,85.75
542,Lonnie,Tirado,84.84
55,Doris,Reed,84.81
545,Julio,Noland,84.81
539,Mathew,Bolin,84.80
88,Bonnie,Hughes,84.80
299,James,Gannon,84.79
6,Jennifer,Davis,84.75
140,Eva,Ramos,83.82
480,Corey,Hauser,83.81
143,Leslie,Gordon,83.80
440,Bernard,Colby,83.79
598,Wade,Delvalle,83.78
340,Patrick,Newsom,83.77
496,Tyler,Wren,82.81
564,Bob,Pfeiffer,82.78
498,Gene,Sanborn,82.76
524,Jared,Ely,81.83
483,Vernon,Chapa,81.83
322,Jason,Morrissey,81.81
308,Thomas,Grigsby,81.81
174,Yvonne,Watkins,81.81
165,Lorraine,Stephens,81.80
312,Mark,Rinehart,81.80
4,Barbara,Jones,81.78
534,Christian,Jung,81.78
527,Cory,Meehan,81.76
215,Jessie,Banks,81.76
151,Megan,Palmer,81.75
311,Paul,Trout,80.85
449,Oscar,Aquino,80.83
205,Eileen,Carr,80.82
316,Steven,Curley,80.81
184,Vivian,Ruiz,80.80
287,Becky,Miles,80.78
290,Kristina,Chambers,80.78
521,Roland,South,80.77
357,Keith,Rico,80.77
304,David,Royal,79.81
109,Edna,West,79.81
282,Jenny,Castro,79.80
185,Roberta,Harper,79.80
387,Jesse,Schilling,79.78
391,Clarence,Gamez,79.75
429,Frederick,Isbell,78.84
599,Austin,Cintron,78.82
18,Carol,Garcia,78.81
338,Dennis,Gilman,78.80
9,Margaret,Moore,78.80
298,Erika,Pena,78.79
62,Joan,Cooper,78.79
227,Colleen,Burton,78.78
435,Ricky,Shelby,78.77
223,Melinda,Fernandez,77.84
402,Luis,Yanez,77.81
134,Emma,Boyd,77.81
394,Chris,Brothers,77.80
384,Ernest,Stepp,77.79
104,Rita,Graham,77.78
243,Lydia,Burke,77.77
246,Marian,Mendoza,76.82
93,Phyllis,Foster,76.80
118,Kim,Cruz,76.80
224,Pearl,Garza,76.78
70,Christina,Ramirez,75.83
270,Leah,Curtis,75.81
358,Samuel,Marlow,75.80
551,Clayton,Barbee,75.79
183,Ida,Andrews,75.78
530,Darryl,Ashcraft,75.78
194,Kristen,Chavez,74.84
412,Allen,Butterfield,74.83
555,Dwight,Lombardi,74.83
327,Larry,Thrasher,74.81
420,Jacob,Lance,74.80
76,Irene,Price,74.79
142,April,Burns,74.77
398,Antonio,Meek,73.85
291,Toni,Holt,73.83
399,Danny,Isom,73.82
152,Alicia,Mills,73.81
79,Rachel,Barnes,73.81
428,Herbert,Kruger,73.81
543,Lance,Pemberton,73.80
596,Enrique,Forsythe,73.78
335,Gregory,Mauldin,73.78
411,Norman,Currier,73.76
95,Paula,Bryant,72.83
556,Armando,Gruber,72.82
325,Timothy,Bunn,72.82
85,Anne,Powell,72.79
301,Robert,Baughman,71.85
222,Delores,Hansen,71.84
94,Norma,Gonzales,71.81
430,Ray,Houle,71.80
278,Billie,Horton,71.79
177,Samantha,Duncan,71.77
255,Irma,Pearson,70.82
378,Eugene,Culpepper,70.82
370,Wayne,Truong,70.81
303,William,Satterfield,70.81
117,Edith,Mcdonald,69.83
369,Fred,Wheat,69.79
514,Franklin,Troutman,69.79
310,Daniel,Cabral,68.87
465,Floyd,Gandy,68.84
525,Adrian,Clary,68.82
355,Terry,Grissom,68.81
283,Felicia,Sutton,68.77
48,Ann,Evans,67.86
464,Jerome,Kenyon,67.86
315,Kenneth,Gooden,67.86
218,Vera,Mccoy,67.82
191,Jeanette,Greene,66.82
458,Lloyd,Dowd,66.81
568,Alberto,Henning,66.79
272,Kay,Caldwell,65.87
353,Jonathan,Scarborough,65.83
328,Jeffrey,Spear,65.83
413,Marvin,Yee,65.81
164,Joann,Gardner,64.85
344,Henry,Billingsley,64.84
326,Jose,Andrew,64.82
313,Donald,Mahon,63.84
548,Allan,Cornish,63.84
350,Juan,Fraley,63.79
557,Felix,Gaffney,63.78
492,Lester,Kraus,62.85
549,Nelson,Christenson,62.84
401,Tony,Carranza,62.81
330,Scott,Shelley,60.82
136,Anita,Morales,59.86
162,Lauren,Hudson,59.83
159,Jill,Hawkins,58.83
97,Annie,Russell,58.82
252,Mattie,Hoffman,58.80
61,Katherine,Rivera,57.87
124,Sheila,Wells,57.86
395,Johnny,Turpin,57.81
271,Penny,Neal,56.84
250,Jo,Fowler,54.85
288,Bobbie,Craig,52.81
586,Kirk,Stclair,50.83
110,Tiffany,Jordan,49.88
320,Anthony,Schwab,47.85
248,Caroline,Bowman,37.87
281,Leona,Obrien,32.90
318,Brian,Wyman,27.93
